Keyword,Course URL,ชื่อหลักสูตร,ชื่อหลักสูตรภาษาอังกฤษ,ประเภทหลักสูตร,วิทยาเขต,ค่าใช้จ่าย,อัตราการสำเร็จการศึกษา,,รอบ 1 Portfolio,รอบ 2 Quota,รอบ 3 Admission,รอบ 4 Direct Admission,ค่ามัธยฐานเงินเดือน,อัตราการได้งานทำ,สาขาวิชา
วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/21660105300516A,วศ.บ.วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering,ภาษาไทย ปกติ,หลัก,"ค่าลงทะเบียนเรียน 18,500 บาท ต่อภาคเรียน และค่าธรรมเนียมแรกเข้าศึกษา 5,350 บาท (ค่าแรกเข้าชำระเฉพาะภาคเรียนแรกที่เข้าศึกษา) สามารถดูประกาศค่าธรรมเนียม  ณ วันที่ประกาศรายชื่อผู้มีสิทธิ์เข้าศึกษาที่เว็บไซต์ https://admission.ssru.ac.th/login",,,รับ60คน,รับ10คน,รับ80คน,รับ50คน,,,
วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/21710105300590A,วศ.บ.วิศวกรรมคอมพิวเตอร์และเครือข่าย,Computer and Network Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"72,610 บาท",,,รับ5คน,รับ5คน,รับ10คน,ไม่เปิดรับสมัครในรอบนี้,"18,000 บาท",,วิศวกรรมคอมพิวเตอร์และเครือข่าย
วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/31910102700901A,วิศวกรรมคอมพิวเตอร์,Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,100000 ตลอดหลักสูตร  (14000 ต่อภาคเรียน),อัตราการจบการศึกษา ร้อยละ 90 ของนักศึกษาปีการศึกษา 2566,,รับ14คน,รับ4คน,รับ4คน,รับ2คน,20000 บาท,ร้อยละ 90 ของผู้จบการศึกษา,
วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/31910104300501A,วิศวกรรมคอมพิวเตอร์,Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,20000 บาท/ภาคการศึกษา,อัตราการจบการศึกษา ร้อยละ 66.00 ของนักศึกษาปีการศึกษา 2566,,รับ20คน,ไม่เปิดรับสมัครในรอบนี้,ไม่เปิดรับสมัครในรอบนี้,ไม่เปิดรับสมัครในรอบนี้,22500 บาท,ร้อยละ 75 ของผู้จบการศึกษา,
วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/31920104300501A,วศ.บ. (วิศวกรรมคอมพิวเตอร์และระบบไอโอที),B.Eng. (Computer Engineering and IoT System),ภาษาไทย ปกติ,วิทยาเขตหลัก,อัตราค่าบำรุงการศึกษา ภาคการศึกษาแรก 16120 บาท / ภาคการศึกษาถัดไป 11700 บาท,n/a,,รับ5คน,รับ15คน,รับ10คน,รับ10คน,n/a,n/a,
วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/31940504300501A,วศ.บ. วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,พระนครเหนือ,15000,,,รับ15คน,รับ15คน,รับ15คน,รับ10คน,,,
วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/31950101300501A,วศ.บ.  วิศวกรรมคอมพิวเตอร์ 4 ปี,BachelorofEngineering(B.Eng.),ภาษาไทย ปกติ,ศาลายา,"สายวิทยาศาสตร์ค่าเทอมเหมาจ่าย 15,000/ภาคการศึกษา สายสังคมค่าเทอมเหมาจ่าย 12,000/ภาคการศึกษา",,,รับ5คน,รับ5คน,รับ15คน,ไม่เปิดรับสมัครในรอบนี้,,,
วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/31950203300501A,อส.บ. เทคโนโลยีวิศวกรรมคอมพิวเตอร์ 4 ปี,BachelorofIndustrialTechnology(B.Ind.Tech.),ภาษาไทย ปกติ,วังไกลกังวล,"สายวิทยาศาสตร์ค่าเทอมเหมาจ่าย 15,000/ภาคการศึกษา สายสังคมค่าเทอมเหมาจ่าย 12,000/ภาคการศึกษา",,,รับ10คน,รับ10คน,รับ5คน,ไม่เปิดรับสมัครในรอบนี้,,,
วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/31970104300501A,วศ.บ. วิศวกรรมคอมพิวเตอร์,Computer Engineering,ภาษาไทย ปกติ,สงขลา,"110,000",,,รับ7คน,รับ2คน,รับ1คน,รับ1คน,,,
วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/31970104300502A,วศ.บ. วิศวกรรมปัญญาประดิษฐ์และนวัตกรรมดิจิทัล,Artificial Intelligence and Digital Innovation Engineering,ภาษาไทย ปกติ,สงขลา,"110,000",,,รับ2คน,รับ2คน,รับ1คน,รับ1คน,,,
